		名詞	
さーばーれす	Serverless	名詞	ウェブ・IT用語
さーびす	service	名詞	Unity/C#
さーびす	Service	名詞	一般ビジネス
さーびすめっしゅ	ServiceMesh	名詞	ウェブ・IT用語
さいくる	Cycle	名詞	一般ビジネス
さいくろん	Cyclone	名詞	気象・自然
さいげんせい	Reproducibility	名詞	QA・デバッグ
さいころじー	Psychology	名詞	身体・解剖
さいず	Size	名詞	一般ビジネス
さいずおぶ	sizeof	名詞	Unity/C#
さいと	Site	名詞	一般IT
さいど	Side	名詞	抽象・方向
さいど	Saturation	名詞	編集用語
さいどかー	Sidecar	名詞	ウェブ・IT用語
さいどばー	Sidebar	名詞	UI/UX
さいどびゅー	Side View	名詞	グラフィック・デザイン
さいとまっぷ	Sitemap	名詞	UI/UX
さいとらいん	Sightline	名詞	レベルデザイン
さいばーあだっく	CyberAttack	名詞	ウェブ・IT用語
さいばーれじりえんす	Resilience	名詞	ウェブ・IT用語
さいぼーぐ	Cyborg	名詞	機械・軍事
さいれんさー	Silencer	名詞	機械・軍事
さいん	Sin	名詞	Unity/C#
さいん	Sign	名詞	一般ビジネス
さうす	South	名詞	抽象・方向
さうんど	sound	名詞	Unity/C#
さうんど	Sound	名詞	一般IT
さうんどとらっく	Soundtrack	名詞	ゲーム用語
さかー	Soccer	名詞	一般ビジネス
さがちゅれーしょん	Saturation	名詞	色・素材
さかまんだー	Salamander	名詞	ゲーム用語
さきゅばす	Succubus	名詞	ゲーム用語
さくせす	Success	名詞	ウェブ・IT用語
さじたりうす	Sagittarius	名詞	天体・宇宙
さすてなぶる	Sustainable	名詞	ビジネス
さたでー	Saturday	名詞	時間・季節
さたん	Satan	名詞	ゲーム用語
さたん	Saturn	名詞	天体・宇宙
さちゅれーしょん	Saturation	名詞	グラフィック・デザイン
さっくす	Saxophone	名詞	楽器・音楽
さてん	Satin	名詞	色・素材
さにる	Vanilla	名詞	素材・料理
さばいばる	Survival	名詞	ゲーム用語
さばとん	Sabaton	名詞	装備部位
さばんな	Savanna	名詞	地形・環境
さふぁいあ	Sapphire	名詞	色・素材
さぶくりっぷ	Sub Clip	名詞	映像用語
さぶさーふぇす	Subsurface	名詞	グラフィック・デザイン
さぶすくりぷしょん	Subscription	名詞	ビジネス
さぶすたんす	Substance	名詞	ツール・ブランド
さぶねっと	Subnet	名詞	ウェブ・IT用語
さぶまりん	Submarine	名詞	機械・軍事
さぷらい	Supply	名詞	一般ビジネス
さぷらいず	Surprise	名詞	一般ビジネス
さぷらいちぇーん	Supply Chain	名詞	ビジネス
さぷらいやー	Supplier	名詞	一般ビジネス
さぷりめんと	Supplement	名詞	一般ビジネス
さぷりんぐれーと	Sample Rate	名詞	サウンド
さふろん	Saffron	名詞	素材・料理
さぽーと	support	名詞	Unity/C#
さぽーと	Support	名詞	一般ビジネス
さぼてん	Cactus	名詞	植物・生物
さまー	Summer	名詞	一般ビジネス
さまらいず	Summarize	名詞	一般ビジネス
さまり	Summary	名詞	ビジネス
さむぷらー	Sampler	名詞	楽器・音楽
さむらい	Samurai	名詞	ゲーム用語
さめ	Shark	名詞	植物・生物
さもんー	Summoner	名詞	ゲーム用語
さらんど	Surround	名詞	映像用語
ざりく	Ice Spear	名詞	ゲーム用語
さるさ	Salsa	名詞	楽器・音楽
さん	Sun	名詞	天体・宇宙
さんくちゅあり	Sanctuary	名詞	抽象・方向
さんせりふ	Sans Serif	名詞	編集用語
さんせりふ	Sans-serif	名詞	タイポグラフィ
さんだー	Thunder	名詞	ゲーム用語
さんだる	Sandals	名詞	ゲーム用語
さんでー	Sunday	名詞	時間・季節
さんどぼっくす	Sandbox	名詞	IT
さんば	Samba	名詞	楽器・音楽
さんふらわー	Sunflower	名詞	植物・生物
さんぷりんぐ	Sampling	名詞	映像用語
さんぷる	Sample	名詞	制作・運用
しあたー	Theater	名詞	建築・構造
しあん	Cyan	名詞	色・素材
しー	Sea	名詞	地形・環境
しーあーるあい	CRIWARE	名詞	サウンド
しーあーるえむ	CRM	名詞	略語
しーあーるゆーでぃー	CRUD	名詞	ウェブ・IT用語
じーあい	Global Illumination	名詞	レベルデザイン
しーあいしーでぃー	CI/CD	名詞	ウェブ・IT用語
しーいーおー	CEO	名詞	略語
しーえすあーる	CSR	名詞	ビジネス
しーえすあーるえふ	CSRF	名詞	ウェブ・IT用語
しーえすえす	css	名詞	Unity/C#
しーえすえす	CSS	名詞	略語
しーえすぴーえむ	CSPM	名詞	ウェブ・IT用語
しーえむわいきー	CMYK	名詞	グラフィック・デザイン
しーえるえす	CLS	名詞	ウェブ・IT用語
しーおーおー	COO	名詞	略語
しーくえんす	Sequence	名詞	一般IT
しーくれっと	Secret	名詞	抽象・方向
しーけんさー	Sequencer	名詞	楽器・音楽
しーけんす	Sequence	名詞	映像用語
しーじーあい	CGI	名詞	映像用語
じーしーぴー	GCP	名詞	ウェブ・IT用語
しーじうぇぽん	Siege Weapon	名詞	ゲーム用語
しーしゃーぷ	CSharp	名詞	Unity/C#
しーずん	Season	名詞	一般ビジネス
しーずんぱす	Season Pass	名詞	ゲーム用語
しーた	Theta	名詞	数・単位
しーつ	Sheets	名詞	一般IT
しーでぃーえぬ	CDN	名詞	ウェブ・IT用語
しーてぃーおー	CTO	名詞	略語
じーでぃーぴーあーる	GDPR	名詞	制作・運用
しーぴーあい	CPI	名詞	ゲーム制作・経営
しーぴーゆー	CPU	名詞	Unity/C#
じーぴーゆー	GPU	名詞	Unity/C#
じーぴーゆーぱーてぃくる	GPU Particle	名詞	制作・運用
しーふ	Thief	名詞	ゲーム用語
じーぷ	Jeep	名詞	機械・軍事
じーぶらし	ZBrush	名詞	ツール・ブランド
しーぷらすぷらす	CPlusPlus	名詞	Unity/C#
しーむれす	Seamless	名詞	一般ビジネス
じーら	Jira	名詞	ウェブ・IT用語
しーる	Seal	名詞	一般ビジネス
しーるど	Shield	名詞	一般ビジネス
しーん	Scene	名詞	映像用語
じーん	Gene	名詞	身体・解剖
しーんびゅー	SceneView	名詞	Unity/C#
しーんまねーじゃー	SceneManager	名詞	Unity/C#
しゔぁ	Shiva	名詞	ゲーム用語
しぇあ	Share	名詞	一般IT
じぇいえす	JS	名詞	Unity/C#
じぇいそん	json	名詞	Unity/C#
じぇいそん	JSON	名詞	略語
じぇいそんゆーてぃりてぃ	JsonUtility	名詞	Unity/C#
じぇいど	Jade	名詞	色・素材
しぇいぷ	Shape	名詞	編集用語
しぇいぷきー	Shape Key	名詞	アート手法
じぇいわっと	JWT	名詞	ウェブ・IT用語
じぇーそん	JSON	名詞	IT
しぇーだー	Shader	名詞	一般IT
しぇーでぃんぐ	Shading	名詞	アート手法
しぇーど	Shade	名詞	色・素材
じぇーぺぐ	JPEG	名詞	ファイル形式
じぇすちゃー	Gesture	名詞	UI/UX
じぇっと	Jet	名詞	色・素材
じぇねしす	Genesis	名詞	抽象・方向
じぇねりっく	Generic	名詞	ビジネス
じぇねりっくす	Generics	名詞	Unity/C#
じぇねれーしょん	Generation	名詞	時間・季節
じぇねれーたー	Generator	名詞	機械・軍事
じぇねれーてぃぶあーと	Generative Art	名詞	アート手法
じぇねれーてぃぶえーあい	GenerativeAI	名詞	ウェブ・IT用語
じぇみない	Gemini	名詞	ウェブ・IT用語
じぇみに	Gemini	名詞	天体・宇宙
じぇむ	Gem	名詞	ゲーム用語
じぇらー	Genre	名詞	ゲーム設計
じぇらーと	Gelato	名詞	素材・料理
じぇらしー	Jealousy	名詞	概念・抽象
じぇらしねん	Distillation	名詞	素材・料理
じぇらにうむ	Geranium	名詞	植物・生物
じぇりーふぃっしゅ	Jellyfish	名詞	植物・生物
しぇる	Shell	名詞	一般IT
しぇるたー	Shelter	名詞	建築・構造
じぇんきんす	Jenkins	名詞	制作・運用
じおめとり	Geometry	名詞	アート手法
じおめとりっく	Geometric	名詞	グラフィック・デザイン
しおん	Session	名詞	一般ビジネス
しきそう	Hue	名詞	編集用語
しぐなる	Signal	名詞	抽象・方向
しぐにふぁいあ	Signifier	名詞	UI/UX
しぐま	Sigma	名詞	数・単位
しじしょ	Specification	名詞	ウェブ・IT用語
じす	this	名詞	Unity/C#
しすてむ	System	名詞	一般IT
じそく	Magnetic	名詞	編集用語
したでる	Citadel	名詞	建築・構造
じったー	Jitter	名詞	QA・デバッグ
しっぷ	Ship	名詞	機械・軍事
しとりん	Citrine	名詞	色・素材
しなじー	Synergy	名詞	ビジネス
しなぷす	Synapse	名詞	身体・解剖
しなもん	Cinnamon	名詞	素材・料理
しなりお	Scenario	名詞	一般ビジネス
じにー	Genie	名詞	ゲーム用語
しねまふぉーでぃー	Cinema 4D	名詞	ツール・ブランド
じふ	GIF	名詞	ファイル形式
しふと	Shift	名詞	一般ビジネス
じまく	Subtitle	名詞	映像用語
しみたー	Scimitar	名詞	ゲーム用語
しみゅれーしょん	Simulation	名詞	ゲーム用語
しゃーし	Chassis	名詞	機械・軍事
しゃーだーぐらふ	Shader Graph	名詞	テクニカルアート
しゃーぷねす	Sharpness	名詞	映像用語
しゃーぷねる	Shrapnel	名詞	機械・軍事
しゃーぷん	Sharpen	名詞	編集用語
しゃーまん	Shaman	名詞	ゲーム用語
じゃいあんと	Giant	名詞	ビジネス
じゃいろ	Gyro	名詞	ゲーム用語
じゃがー	Jaguar	名詞	植物・生物
じゃけっと	Jacket	名詞	一般ビジネス
じゃず	Jazz	名詞	楽器・音楽
じゃすてぃす	Justice	名詞	ビジネス
じゃすてぃふぃけーしょん	Justification	名詞	映像用語
じゃすと	Just	名詞	一般ビジネス
じゃすみん	Jasmine	名詞	植物・生物
しゃち	Orca	名詞	植物・生物
しゃつ	Shirt	名詞	ファッション
じゃっかる	Jackal	名詞	植物・生物
しゃっじ	Sludge	名詞	色・素材
しゃったーあんぐる	Shutter Angle	名詞	映像用語
しゃったーすぴーど	Shutter Speed	名詞	映像用語
しゃどう	Shadow	名詞	Unity/C#
しゃどーあいてぃ	ShadowIT	名詞	ウェブ・IT用語
じゃにゅありー	January	名詞	時間・季節
じゃば	Java	名詞	一般IT
じゃばすくりぷと	JavaScript	名詞	ウェブ・IT用語
しゃわー	Shower	名詞	気象・自然
じゃんご	Django	名詞	ウェブ・IT用語
じゃんる	Genre	名詞	一般ビジネス
しゅうさ	Aberration	名詞	映像用語
じゅーしー	Juicy	名詞	ゲーム設計
しゅーず	Shoes	名詞	ファッション
しゅーてぃんぐ	Shooting	名詞	ゲーム用語
じゅーん	June	名詞	時間・季節
じゅぴたー	Jupiter	名詞	天体・宇宙
しゅふぃあ	Sphere	名詞	形・幾何学
じゅらい	July	名詞	時間・季節
しゅらいん	Shrine	名詞	建築・構造
じゅりあーど	Diabolos	名詞	ゲーム用語
しゅりけん	Shuriken	名詞	ゲーム用語
じゅんぐる	Jungle	名詞	地形・環境
じょいすてぃっく	Joystick	名詞	ゲーム用語
じょいん	Join	名詞	ウェブ・IT用語
じょいんと	Joint	名詞	一般ビジネス
じょうざん	Multiply	名詞	編集用語
じょーがん	Organ	名詞	身体・解剖
じょーく	Joke	名詞	一般ビジネス
じょっき	Mug	名詞	素材・料理
しょっと	Shot	名詞	映像用語
しょっぷ	Shop	名詞	建築・構造
じょぶ	Job	名詞	一般ビジネス
じょぶしすてむ	JobSystem	名詞	Unity/C#
しりあらいず	Serialize	名詞	Unity/C#
しりある	Serial	名詞	一般IT
しりあるらいず	serialize	名詞	Unity/C#
しりあるらいずふぃーるど	SerializeField	名詞	Unity/C#
しりうす	Sirius	名詞	天体・宇宙
じりこにうむ	Zirconium	名詞	色・素材
しりんだー	Cylinder	名詞	形・幾何学
しる	Sill	名詞	地形・環境
しるえっと	Silhouette	名詞	ファッション
しるく	Silk	名詞	色・素材
しるばー	Silver	名詞	色・素材
しるふ	Sylph	名詞	ゲーム用語
じれんま	Dilemma	名詞	概念・抽象
しろ	White	名詞	色・素材
しん	Sin	名詞	概念・抽象
しんぎゅらりてぃ	Singularity	名詞	概念・抽象
しんく	sync	名詞	Unity/C#
しんく	Sync	名詞	一般IT
しんぐる	Single	名詞	一般ビジネス
しんぐるとん	Singleton	名詞	Unity/C#
しんぐるぷれいやー	Singleplayer	名詞	ゲーム用語
しんせさいざー	Synthesizer	名詞	楽器・音楽
しんせしす	Synthesis	名詞	概念・抽象
しんたっくす	Syntax	名詞	IT
しんどう	Vibration	名詞	ゲーム用語
しんぱしー	Sympathy	名詞	概念・抽象
しんばる	Cymbal	名詞	楽器・音楽
じんぱる	Gimbal	名詞	映像用語
しんふぉにー	Symphony	名詞	楽器・音楽
しんぷる	Simple	名詞	一般ビジネス
しんぼりっく	Symbolic	名詞	ビジネス
しんぼる	Symbol	名詞	一般ビジネス
すいーと	Suite	名詞	IT
すいっち	Switch	名詞	制作・運用
すいっちぶん	switch	名詞	Unity/C#
ずゔぇると	Svelte	名詞	ウェブ・IT用語
すうぉっち	Swatch	名詞	編集用語
すーぱーのゔぁ	Supernova	名詞	天体・宇宙
すーぱべーす	Supabase	名詞	ウェブ・IT用語
ずーむ	Zoom	名詞	ウェブ・IT用語
すかーと	Skirt	名詞	ファッション
すかーら	Scala	名詞	IT
すかーれっと	Scarlet	名詞	色・素材
すかいくらすたー	Skybox	名詞	レベルデザイン
すかいすくれーぱー	Skyscraper	名詞	建築・構造
すかいぼっくす	Skybox	名詞	Unity/C#
すかる	Skull	名詞	身体・解剖
すきーま	Schema	名詞	ウェブ・IT用語
すきーむ	Scheme	名詞	グラフィック・デザイン
すきにんぐ	Skinning	名詞	リギング
すきゃったりんぐ	Scattering	名詞	グラフィック・デザイン
すきゃにんぐ	Scanning	名詞	制作・運用
すきゃんらいん	Scanline	名詞	アート手法
すきゅーあもふぃずむ	Skeuomorphism	名詞	グラフィック・デザイン
すきる	skill	名詞	Unity/C#
すきる	Skill	名詞	ゲーム用語
すきん	Skin	名詞	ゲーム用語
すきんどめっしゅ	SkinnedMesh	名詞	Unity/C#
すきんみらー	Skin Mirror	名詞	映像用語
すくいっど	Squid	名詞	植物・生物
すくえあ	Square	名詞	建築・構造
すくえあまぐにちゅーど	sqrMagnitude	名詞	Unity/C#
すくえあるーと	Sqrt	名詞	Unity/C#
すくらむ	Scrum	名詞	ウェブ・IT用語
すくりーん	Screen	名詞	編集用語
すくりぷたぶるおぶじぇくと	ScriptableObject	名詞	Unity/C#
すくりぷと	Scripting	名詞	編集用語
すくりぷと	Script	名詞	制作・運用
すくりぷとふぉんと	Script Font	名詞	編集用語
すぐろーぶ	Glove	名詞	ファッション
すけーらびりてぃ	Scalability	名詞	IT
すけーる	Scale	名詞	楽器・音楽
すけーるあうと	ScaleOut	名詞	ウェブ・IT用語
すけーるあっぷ	ScaleUp	名詞	ウェブ・IT用語
すけじゅーら	Scheduler	名詞	制作・運用
すけじゅーる	Schedule	名詞	映像用語
すけっち	Sketch	名詞	ツール・ブランド
すけるとん	Skeleton	名詞	ゲーム用語
すけるとんすくりーん	SkeletonScreen	名詞	ウェブ・IT用語
すけるとんすくりーん	Skeleton Screen	名詞	UI/UX
すこあ	score	名詞	Unity/C#
すこーぴお	Scorpio	名詞	天体・宇宙
すこーぴおん	Scorpion	名詞	植物・生物
すこーぷ	Scope	名詞	ビジネス
すこーぷ	Scopes	名詞	映像用語
すたー	Star	名詞	天体・宇宙
すたーだすと	Stardust	名詞	一般ビジネス
すたーと	Start	名詞	一般ビジネス
すたいる	Style	名詞	一般ビジネス
すたいるがいど	Style Guide	名詞	UI/UX
すたいるしーと	Style Sheet	名詞	グラフィック・デザイン
すたじあむ	Stadium	名詞	建築・構造
すたっく	Stack	名詞	一般IT
すたっしゅ	Stash	名詞	ウェブ・IT用語
すたっふ	Staff	名詞	一般ビジネス
すたっふろーる	staffroll	名詞	Unity/C#
すたてぃっく	static	名詞	Unity/C#
すたてぃっく	Static	名詞	一般IT
すたびらいざー	Stabilizer	名詞	映像用語
すたみな	Stamina	名詞	ゲーム用語
すたりんぐ	Stuttering	名詞	QA・デバッグ
すたんだーど	Standard	名詞	制作・運用
すたんど	Stand	名詞	一般ビジネス
すたんどあっぷ	Standup	名詞	ウェブ・IT用語
すたんぷ	Clone Stamp	名詞	編集用語
すちーる	Steel	名詞	色・素材
すてあーず	Stairs	名詞	建築・構造
すてーくほるだー	Stakeholder	名詞	ビジネス
すてーじ	Stage	名詞	一般ビジネス
すてーじんぐ	Staging	名詞	ウェブ・IT用語
すてーたす	status	名詞	Unity/C#
すてーたす	Status	名詞	一般ビジネス
すてーたすこーど	StatusCode	名詞	ウェブ・IT用語
すてーたすばー	Status Bar	名詞	UI/UX
すてーと	State	名詞	ウェブ・IT用語
すてーとましん	StateMachine	名詞	Unity/C#
すてーとましん	State Machine	名詞	ゲーム設計
すてっぷ	Step	名詞	一般ビジネス
すてっぷ	Steppe	名詞	地形・環境
すてでぃかむ	Steadicam	名詞	映像用語
すてれお	Stereo	名詞	映像用語
すとあ	Store	名詞	一般ビジネス
すとあどぷろしーじゃ	StoredProcedure	名詞	ウェブ・IT用語
すとーむ	Storm	名詞	気象・自然
すとーりー	Story	名詞	一般ビジネス
すとーりーぽいんと	StoryPoint	名詞	ウェブ・IT用語
すとーりーぼーど	Storyboard	名詞	グラフィック・デザイン
すとーりーまーぷ	Story Map	名詞	UI/UX
すとーりーみんぐ	Streaming	名詞	Unity/C#
すとーりーむ	stream	名詞	Unity/C#
すとーりーむ	Stream	名詞	制作・運用
すとーん	Stone	名詞	色・素材
すとっく	Stock	名詞	一般ビジネス
すとっくふぉてーじ	Stock Footage	名詞	映像用語
すとっぷ	Stop	名詞	ゲーム用語
すとっぷもーしょん	Stop Motion	名詞	アート手法
すとまっく	Stomach	名詞	身体・解剖
すとらくと	struct	名詞	Unity/C#
すとらくと	Struct	名詞	制作・運用
すとらす	Stratus	名詞	一般IT
すとらてじー	Strategy	名詞	一般ビジネス
すとりーと	Street	名詞	建築・構造
すとりーぼーど	Storyboard	名詞	映像用語
すとりーまー	Streamer	名詞	制作・運用
すとりーむ	Stream	名詞	一般IT
すとりんぐ	string	名詞	Unity/C#
すとりんぐ	String	名詞	制作・運用
すとれーじ	storage	名詞	Unity/C#
すとれーじ	Storage	名詞	一般IT
すとれす	Stress	名詞	一般ビジネス
すとれすてすと	Stress Test	名詞	QA・デバッグ
すとれんくす	Strength	名詞	ゲーム用語
すとろーく	Stroke	名詞	編集用語
すとろぼ	Strobe	名詞	グラフィック・デザイン
すなっくばー	Snackbar	名詞	UI/UX
すなっぷ	Snap	名詞	編集用語
すなっぷしょっと	Snapshot	名詞	編集用語
すにーかー	Sneakers	名詞	ファッション
すにぺっと	Snippet	名詞	ウェブ・IT用語
すねーくけーす	Snake Case	名詞	タイポグラフィ
すのー	Snow	名詞	色・素材
すぱいす	Spice	名詞	素材・料理
すぱいだー	Spider	名詞	植物・生物
すぱいらる	Spiral	名詞	形・幾何学
すぱむ	Spam	名詞	IT
すぱん	Span	名詞	ウェブ・IT用語
すぴあ	Spear	名詞	ゲーム用語
すぴあこらいだー	SphereCollider	名詞	Unity/C#
すぴーかー	Speaker	名詞	一般ビジネス
すぴーど	Speed	名詞	一般ビジネス
すぴーどらん	Speedrun	名詞	ゲーム用語
すぴなー	Spinner	名詞	UI/UX
すぴりちゅある	Spiritual	名詞	概念・抽象
すぴんおふ	Spin-off	名詞	ゲーム用語
すぷらいとあにめーしょん	Sprite Animation	名詞	テクニカルアート
すぷらいとれんだらー	SpriteRenderer	名詞	Unity/C#
すぷりんぐ	Spring	名詞	時間・季節
すぷりんと	Sprint	名詞	ウェブ・IT用語
すぺーしゃらいぜーしょん	Spatialization	名詞	サウンド
すぺーす	Space	名詞	一般IT
すぺーすしっぷ	Spaceship	名詞	機械・軍事
すぺきゅらー	Specular	名詞	色・素材
すぺくとる	Spectrum	名詞	グラフィック・デザイン
すぺしゃる	Special	名詞	一般ビジネス
すぺっく	Spec	名詞	一般ビジネス
すぽーん	spawn	名詞	Unity/C#
すぽっと	Spot	名詞	一般ビジネス
すまーと	Smart	名詞	一般ビジネス
すまーとおぶじぇくと	Smart Object	名詞	編集用語
すまーとふぃるたー	Smart Filter	名詞	編集用語
すまーとふぉん	Smartphone	名詞	IT
すむーじんぐ	Smoothing	名詞	制作・運用
すむーすだんぷ	SmoothDamp	名詞	Unity/C#
すもーくてすと	Smoke Test	名詞	QA・デバッグ
すらーぷ	Slerp	名詞	Unity/C#
すらいす	Slice	名詞	一般IT
すらいだー	Slider	名詞	Unity/C#
すらいど	Slide	名詞	一般ビジネス
すらっく	Slack	名詞	ウェブ・IT用語
すらっぐ	Slug	名詞	ウェブ・IT用語
すらぶせりふ	Slab Serif	名詞	編集用語
すりーでぃーえすまっくす	3ds Max	名詞	ツール・ブランド
すりーぷ	Sleep	名詞	一般IT
すりっぷ	Slip	名詞	映像用語
すりぶせりふ	Slab Serif	名詞	タイポグラフィ
すりむ	Slim	名詞	一般ビジネス
するーぷっと	Throughput	名詞	ウェブ・IT用語
すれーと	Slate	名詞	色・素材
すれっど	thread	名詞	Unity/C#
すれっど	Thread	名詞	制作・運用
すろう	Slow	名詞	ゲーム用語
すろっと	Slot	名詞	一般ビジネス
すわいぷ	Swipe	名詞	UI/UX
すわんぷ	Swamp	名詞	地形・環境
せいじ	Sage	名詞	ゲーム用語
ぜいじゃくせい	Vulnerability	名詞	ウェブ・IT用語
せいふてぃ	Safety	名詞	ビジネス
せいる	Ceil	名詞	Unity/C#
せいれー	Spirit	名詞	ゲーム用語
せいれーん	Siren	名詞	ゲーム用語
ぜうす	Zeus	名詞	ゲーム用語
ぜーた	Zeta	名詞	数・単位
せーたー	Sweater	名詞	ファッション
せーぶ	save	名詞	Unity/C#
せーぶ	Save	名詞	一般IT
せーぶあせっと	SaveAssets	名詞	Unity/C#
せーふえりあ	Safe Area	名詞	映像用語
せーふてぃ	Safety	名詞	一般ビジネス
せーぶぽいんと	Save Point	名詞	ゲーム用語
せーる	Sale	名詞	一般ビジネス
せーるしぇーでぃんぐ	Cel Shading	名詞	グラフィック・デザイン
せおーりー	Theory	名詞	概念・抽象
せかんだりー	Secondary	名詞	色・素材
せきゅりてぃ	Security	名詞	一般IT
せくしょん	Section	名詞	制作・運用
せぐふぉ	Segfault	名詞	ウェブ・IT用語
せぐめんと	Segment	名詞	ビジネス
せこいあ	Sequoia	名詞	植物・生物
せしょん	Session	名詞	一般IT
ぜっしゅ	Zsh	名詞	ウェブ・IT用語
せっしょん	Session	名詞	ウェブ・IT用語
せったー	setter	名詞	Unity/C#
せっと	Set	名詞	一般ビジネス
せっとあくてぃぶ	SetActive	名詞	Unity/C#
せっとぱすこーる	SetPassCall	名詞	Unity/C#
ぜっとばっふぁ	Z-Buffer	名詞	制作・運用
ぜっとふぁいん	Z-Fighting	名詞	制作・運用
ぜにす	Zenith	名詞	天体・宇宙
せぱれーしょん	Separation	名詞	グラフィック・デザイン
せぴあ	Sepia	名詞	色・素材
せびありてぃ	Severity	名詞	QA・デバッグ
せぷたむ	Septum	名詞	抽象・方向
せぷてんばー	September	名詞	時間・季節
ぜぶら	Zebra	名詞	映像用語
せみ	Cicada	名詞	植物・生物
せみころん	Semicolon	名詞	記号
せみなー	Seminar	名詞	一般ビジネス
せらー	Cellar	名詞	建築・構造
せらふ	Seraph	名詞	ゲーム用語
せらみっく	Ceramic	名詞	色・素材
せりあにめーしょん	Cel Animation	名詞	アート手法
せりある	Serial	名詞	制作・運用
せりふ	Serif	名詞	編集用語
せる	Cell	名詞	身体・解剖
せれくと	Select	名詞	一般ビジネス
せれもにー	Ceremony	名詞	概念・抽象
せろ	CERO	名詞	制作・運用
ぜろでい	ZeroDay	名詞	ウェブ・IT用語
ぜろでぃばいど	Zero Divide	名詞	制作・運用
せろとにん	Serotonin	名詞	身体・解剖
ぜろとらすと	Zero Trust	名詞	IT
ぜろとらすと	ZeroTrust	名詞	ウェブ・IT用語
せん	Stroke	名詞	映像用語
ぜんくり	Completion	名詞	ゲーム用語
ぜんこあ	Zen Core	名詞	制作・運用
せんさー	Sensor	名詞	一般IT
せんたー	Center	名詞	一般ビジネス
せんたーあらいん	Center-aligned	名詞	タイポグラフィ
せんち	Centi	名詞	一般ビジネス
せんと	Cent	名詞	数・単位
そうけっと	socket	名詞	Unity/C#
そうと	Sort	名詞	Unity/C#
そうるらいく	Soulslike	名詞	ゲーム用語
そーさらー	Sorcerer	名詞	ゲーム用語
そーしゃる	Social	名詞	一般ビジネス
そーす	Source	名詞	一般IT
そーすこんとろーる	Source Control	名詞	制作・運用
そーと	Sort	名詞	一般IT
そーど	Sword	名詞	ゲーム用語
そーなー	Sonar	名詞	機械・軍事
そーらー	Solar	名詞	天体・宇宙
そーらーえくりぷす	SolarEclipse	名詞	天体・宇宙
ぞーん	Zone	名詞	一般ビジネス
そくし	Instant Death	名詞	ゲーム用語
そけっと	Socket	名詞	ゲーム用語
そっくす	Socks	名詞	ファッション
そふと	Soft	名詞	一般ビジネス
そふとうぇあ	Software	名詞	一般IT
そふとらいと	Soft Light	名詞	編集用語
そふとろーんち	Soft Launch	名詞	ゲーム制作・経営
そぷらの	Soprano	名詞	楽器・音楽
そら	Solo	名詞	楽器・音楽
そりゅーしょん	Solution	名詞	一般ビジネス
そると	Salt	名詞	ウェブ・IT用語
そるべ	Sorbet	名詞	素材・料理
そろ	Solo	名詞	一般ビジネス
ぞんび	Zombie	名詞	ゲーム用語
だーく	Dark	名詞	色・素材
だーくないと	Dark Knight	名詞	ゲーム用語
だーくもーど	DarkMode	名詞	ウェブ・IT用語
だーくもーど	Dark Mode	名詞	UI/UX
だーくろーち	DarkLaunch	名詞	ウェブ・IT用語
たーげっと	target	名詞	Unity/C#
たーげっと	Target	名詞	一般ビジネス
たーしゃりー	Tertiary	名詞	色・素材
だーてぃーちぇっく	DirtyCheck	名詞	ウェブ・IT用語
たーびん	Turbine	名詞	機械・軍事
たーまいと	Termite	名詞	植物・生物
たーみなる	Terminal	名詞	一般IT
たーむ	Term	名詞	一般ビジネス
たーむずおぶさーびす	Terms of Service	名詞	制作・運用
たーれっと	Turret	名詞	機械・軍事
たーんだん	turn	名詞	Unity/C#
だいあろぐ	Dialog	名詞	UI/UX
だいえれくてぃっく	Dialectic	名詞	概念・抽象
だいじぇてぃっく	Diegetic	名詞	ゲーム設計
たいしゅつ	Exit	名詞	一般ビジネス
たいたん	Titan	名詞	ゲーム用語
たいとる	Title	名詞	一般ビジネス
だいなみっく	dynamic	名詞	Unity/C#
だいなみっくりんじ	Dynamic Range	名詞	映像用語
たいぷ	Type	名詞	一般IT
たいふーん	Typhoon	名詞	気象・自然
たいぷおぶ	typeof	名詞	Unity/C#
たいぷすくりぷと	TypeScript	名詞	ウェブ・IT用語
たいぽぐらふぃ	Typography	名詞	ウェブ・IT用語
だいまんじょん	Dimension	名詞	概念・抽象
たいむ	time	名詞	Unity/C#
たいむ	Time	名詞	一般ビジネス
たいむこーど	Timecode	名詞	映像用語
たいむらいん	Timeline	名詞	映像用語
たいむりー	Timely	名詞	一般ビジネス
たいや	Tyre	名詞	機械・軍事
だいやもんど	Diamond	名詞	一般ビジネス
だいやろぐ	Dialog	名詞	一般IT
たいる	Tile	名詞	一般IT
だいれくとひと	Direct Hit	名詞	ゲーム用語
たいわん	Tower	名詞	建築・構造
たう	Tau	名詞	数・単位
だう	DAW	名詞	サウンド
たゔぁーん	Tavern	名詞	建築・構造
だうんろーど	download	名詞	Unity/C#
だうんろーど	Download	名詞	一般IT
だがー	Dagger	名詞	ゲーム用語
たきしーど	Tuxedo	名詞	ファッション
たぐ	tag	名詞	Unity/C#
たぐ	Tag	名詞	一般IT
たすく	Task	名詞	一般ビジネス
だすく	Dusk	名詞	時間・季節
たすくふぉーす	Task Force	名詞	一般ビジネス
だっしゅぼーど	Dashboard	名詞	一般IT
たっち	Touch	名詞	Unity/C#
